epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,1338.04,0.33541,0.41419,0.9027,0.65609,1,0.66846,0.64466,0.31267,0.45697,0.84228,0.000231212,0.000231212,0.000231212
129,1348.75,0.33066,0.40374,0.90946,0.65954,1,0.6719,0.64793,0.30604,0.45251,0.83195,0.000221781,0.000221781,0.000221781
130,1358.96,0.33226,0.40711,0.90359,0.65779,1,0.66483,0.64019,0.3092,0.45968,0.83316,0.000212349,0.000212349,0.000212349
131,1369.2,0.33564,0.40703,0.90629,0.65778,1,0.67553,0.65009,0.30757,0.46413,0.83309,0.000202918,0.000202918,0.000202918
132,1379.43,0.33314,0.40966,0.90385,0.65622,0.99871,0.66568,0.64148,0.3095,0.46158,0.83401,0.000193487,0.000193487,0.000193487
133,1389.67,0.32413,0.40941,0.9025,0.65887,1,0.6648,0.64226,0.2999,0.45543,0.82854,0.000184055,0.000184055,0.000184055
134,1399.9,0.32879,0.39414,0.89963,0.65721,0.99897,0.66688,0.64542,0.30308,0.45477,0.83074,0.000174624,0.000174624,0.000174624
135,1410.2,0.32448,0.39592,0.89775,0.65718,0.99924,0.66434,0.64124,0.30451,0.45728,0.83407,0.000165192,0.000165192,0.000165192
136,1420.44,0.32559,0.403,0.89979,0.6564,0.99917,0.66695,0.64379,0.29868,0.45926,0.83063,0.000155761,0.000155761,0.000155761
137,1430.83,0.32582,0.40032,0.9028,0.65832,1,0.66485,0.643,0.29325,0.4538,0.82713,0.00014633,0.00014633,0.00014633
138,1441.36,0.31839,0.39957,0.9002,0.66089,1,0.66725,0.64544,0.29694,0.45023,0.82871,0.000136898,0.000136898,0.000136898
139,1451.65,0.32325,0.39685,0.90415,0.65939,1,0.66605,0.64453,0.29664,0.45323,0.8274,0.000127467,0.000127467,0.000127467
140,1461.97,0.32017,0.39518,0.89985,0.65883,1,0.66603,0.64458,0.29635,0.4595,0.8282,0.000118035,0.000118035,0.000118035
141,1486.86,0.24369,0.35319,0.81778,0.65759,1,0.66865,0.64267,0.29982,0.47269,0.83037,0.000108604,0.000108604,0.000108604
142,1497.14,0.24729,0.34799,0.82493,0.65942,1,0.66756,0.6413,0.30108,0.46349,0.8271,9.91726e-05,9.91726e-05,9.91726e-05
143,1507.42,0.24258,0.34779,0.82125,0.65725,1,0.66324,0.63853,0.29353,0.4631,0.82612,8.97412e-05,8.97412e-05,8.97412e-05
144,1517.6,0.23849,0.34509,0.82203,0.65768,1,0.66475,0.64248,0.29284,0.45464,0.82725,8.03098e-05,8.03098e-05,8.03098e-05
145,1527.76,0.23377,0.33991,0.81784,0.65777,1,0.66473,0.64079,0.29421,0.4597,0.82919,7.08784e-05,7.08784e-05,7.08784e-05
146,1538.23,0.23724,0.34484,0.82298,0.65981,1,0.66333,0.64016,0.29044,0.45362,0.82561,6.1447e-05,6.1447e-05,6.1447e-05
147,1548.74,0.23321,0.34065,0.82181,0.6587,1,0.66333,0.64039,0.28889,0.45216,0.82496,5.20156e-05,5.20156e-05,5.20156e-05
148,1558.89,0.23553,0.34051,0.81989,0.65744,1,0.66331,0.64043,0.28916,0.45496,0.82533,4.25842e-05,4.25842e-05,4.25842e-05
149,1569.11,0.23007,0.33837,0.81677,0.65988,1,0.66331,0.64286,0.28697,0.45367,0.82463,3.31528e-05,3.31528e-05,3.31528e-05
150,1579.33,0.23223,0.33172,0.81529,0.65826,1,0.6647,0.6434,0.28701,0.45163,0.8247,2.37214e-05,2.37214e-05,2.37214e-05
